,dataset,start_age,end_age,sex,tissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
191,droplet,3m,21m,female,Liver,Rps15a-ps6,2.622483253479004,7.496069156331941e-05,0.0004616147489286959,0.0007939172792248428,5.370327077019532e-15
192,droplet,3m,21m,female,Spleen,Acsl3,-2.619089365005493,1.2156713637523353e-05,1.978752834475017e-06,6.139212200650945e-05,2.1181353355018964e-08
193,droplet,3m,21m,female,Lung,Ager,2.613994836807251,9.20579805097077e-06,5.6357581343036145e-05,0.0003750958130694926,9.150912431289543e-06
194,droplet,3m,21m,female,Liver,Gm9320,2.612037181854248,3.782167550525628e-05,0.00023122898710425943,0.00042695674346759915,2.4324744844882445e-12
195,droplet,3m,21m,female,Liver,Serpina3k,-2.6104836463928223,0.014677979052066803,0.0024034352973103523,0.007659010123461485,5.022120086605339e-281
196,droplet,3m,21m,female,Spleen,Ddx23,-2.608218193054199,1.5603942301822826e-05,2.5590709356038133e-06,6.474758993135765e-05,4.398744064673407e-15
197,droplet,3m,21m,female,Liver,Cyba,2.608030080795288,4.426542000146583e-05,0.00026987327146343887,0.0005499086109921336,2.9462406391891592e-08
198,droplet,3m,21m,female,Marrow,Specc1,-2.6048014163970947,2.2539505152963102e-05,3.7052793686598307e-06,8.106925088213757e-05,4.503132144660693e-22
199,droplet,3m,21m,female,Marrow,Vps13c,-2.6033260822296143,2.083660729113035e-05,3.4288436836504843e-06,5.543825318454765e-05,7.661522782136466e-30
200,droplet,3m,21m,female,Liver,Mup20,-2.598942995071411,0.00036685116356238723,6.055222183931619e-05,0.0005492569762282073,3.577147316598257e-31
201,droplet,3m,21m,female,Marrow,Hist1h4d,-2.586277961730957,6.293314072536305e-05,1.047929617925547e-05,0.0001678110274951905,1.1634415247993947e-59
202,droplet,3m,21m,female,Liver,Cyp2c50,-2.5742347240448,0.0011096866801381111,0.00018632816500030458,0.0010203170822933316,3.731520284027955e-79
203,droplet,3m,21m,female,Spleen,Zfp608,-2.568540573120117,2.319793748029042e-05,3.910583473043516e-06,8.452691690763459e-05,2.2894286985476928e-26
204,droplet,3m,21m,female,Marrow,Hist1h1a,-2.5664427280426025,5.7284585636807606e-05,9.670779036241584e-06,0.00018041361181531101,1.1386566048711375e-42
205,droplet,3m,21m,female,Spleen,Gpm6b,2.5630834102630615,3.899112925864756e-06,2.304256850038655e-05,0.00012500735465437174,4.35377994978875e-17
206,droplet,3m,21m,female,Mammary_Gland,Islr2,2.561833620071411,1.8419494836052763e-06,1.0875936823140364e-05,5.026651342632249e-05,1.243705669914688e-07
207,droplet,3m,21m,female,Limb_Muscle,Plcxd2,-2.559887409210205,1.3650213077198714e-05,2.3149220851337304e-06,7.066246325848624e-05,2.48041428273368e-07
208,droplet,3m,21m,female,Spleen,9930111J21Rik1,-2.5551421642303467,1.8679829736356623e-05,3.1783256417838857e-06,7.113491301424801e-05,4.3863928308344534e-20
209,droplet,3m,21m,female,Liver,Sult2a5,2.5494441986083984,2.6099713068106212e-05,0.0001527900021756068,0.0003081166069023311,1.2303186588534287e-08
210,droplet,3m,21m,female,Liver,Arpc1b,2.5305421352386475,3.903331162291579e-05,0.00022553009330295026,0.0003877146518789232,1.797956108960439e-13
211,droplet,3m,21m,female,Mammary_Gland,Fibin,2.5242326259613037,4.23295341533958e-06,2.4350802050321363e-05,9.39001256483607e-05,5.076088759808612e-25
212,droplet,3m,21m,female,Spleen,A530032D15Rik,2.5067381858825684,1.604152566869743e-05,9.116940054809675e-05,0.00016690009215380996,9.129974397320273e-192
213,droplet,3m,21m,female,Spleen,Cd226,-2.5060529708862305,2.016798134718556e-05,3.5503014714777237e-06,8.683775376994163e-05,4.474747350218989e-18
214,droplet,3m,21m,female,Limb_Muscle,Ltb,-2.494755268096924,7.765809277771041e-05,1.3778137144981883e-05,0.0002705721417441964,2.000007888089377e-26
215,droplet,3m,21m,female,Marrow,Cct6a,-2.4895527362823486,2.580210093583446e-05,4.594359324983088e-06,5.7487970479996875e-05,5.203845540875749e-44
216,droplet,3m,21m,female,Limb_Muscle,Cd79a,-2.4895057678222656,0.00028099888004362583,5.0036705943057314e-05,0.0009098490118049085,9.155274788677107e-40
217,droplet,3m,21m,female,Mammary_Gland,Tspan8,2.4852302074432373,7.515474408137379e-06,4.2080926505150273e-05,0.00016827715444378555,5.609302752370655e-32
218,droplet,3m,21m,female,Limb_Muscle,Tbc1d10c,-2.4850821495056152,1.8849957996280864e-05,3.3668675314402208e-06,8.088184404186904e-05,5.364519811183502e-13
219,droplet,3m,21m,female,Spleen,Igj,2.48455548286438,0.00042760884389281273,0.002393163740634918,0.017377926036715508,1.6233526046816658e-10
220,droplet,3m,21m,female,Spleen,Laptm4b,2.4800186157226562,2.0251623027434107e-06,1.1298478966637049e-05,5.8928093494614586e-05,6.45630509277078e-08
221,droplet,3m,21m,female,Kidney,Slc7a12,2.473593235015869,1.2891476217191666e-05,7.160253881011158e-05,0.0002798326313495636,1.5501441468620638e-10
222,droplet,3m,21m,female,Spleen,Rcn3,2.4677233695983887,1.1919842108909506e-05,6.593701255042106e-05,0.00015137299487832934,6.250726599886164e-114
223,droplet,3m,21m,female,Spleen,Derl3,2.4632177352905273,5.696793778042775e-06,3.1414707336807624e-05,0.00016008630336727947,4.550852050419107e-22
224,droplet,3m,21m,female,Marrow,C130026I21Rik,2.4596056938171387,5.402656370279146e-06,2.9718197765760124e-05,0.00010734389070421457,6.50570394003259e-32
225,droplet,3m,21m,female,Liver,Rgs16,2.453408718109131,2.7530448278412223e-05,0.00015078665455803275,0.00022131449077278376,3.433322726737195e-19
