,dataset,start_age,end_age,sex,tissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,droplet,3m,30m,male,Liver,Cxcl2,14.402207374572754,4.6857632440833186e-08,0.0010145793203264475,0.00179712672252208,4.314441509674575e-155
1,droplet,3m,30m,male,Liver,H2-Eb1,13.223657608032227,5.395664288698754e-07,0.0051613496616482735,0.0038882694207131863,0.0
2,droplet,3m,30m,male,Liver,Slco1a1,-13.106789588928223,0.00039608567021787167,4.489960758746747e-08,0.000391041801776737,1.1375065847707624e-98
3,droplet,3m,30m,male,Liver,H2-Aa,12.92127799987793,8.28788813578285e-07,0.006428898312151432,0.004710240289568901,0.0
4,droplet,3m,30m,male,Liver,Cyp4a14,-12.84731674194336,0.00019709575281012803,2.6744423564650788e-08,0.0003853835805784911,1.469884786741989e-22
5,droplet,3m,30m,male,Liver,Tyrobp,12.728663444519043,3.92757556255674e-07,0.0026658461429178715,0.0015335718635469675,0.0
6,droplet,3m,30m,male,Liver,Ctss,12.501862525939941,3.96337838992622e-07,0.0022988051641732454,0.0015228500124067068,0.0
7,droplet,3m,30m,male,Liver,Cd74,12.230950355529785,5.7006755014299415e-06,0.027403710409998894,0.019187085330486298,0.0
8,droplet,3m,30m,male,Liver,Lyz2,12.216057777404785,9.614975624572253e-07,0.004574549850076437,0.004560678731650114,0.0
9,droplet,3m,30m,male,Liver,Ccl4,12.15200424194336,3.92757556255674e-07,0.0017874895129352808,0.0026856495533138514,6.510300100862638e-217
10,droplet,3m,30m,male,Liver,Cd83,11.667956352233887,9.990409211013684e-08,0.00032508166623301804,0.00035628187470138073,0.0
11,droplet,3m,30m,male,Spleen,Ltf,11.542113304138184,1.9725173672213714e-07,0.0005882276454940438,0.0021968723740428686,1.9504618818286135e-135
12,droplet,3m,30m,male,Liver,H2-Ab1,11.469882011413574,2.3840009362174897e-06,0.006762154400348663,0.005120440851897001,0.0
13,droplet,3m,30m,male,Liver,Cd300ld,11.419768333435059,4.6857632440833186e-08,0.00012837557005696,0.00013307535846251994,0.0
14,droplet,3m,30m,male,Lung,Adra1b,-11.237859725952148,1.3865053006156813e-05,5.740015129873655e-09,6.173099973239005e-05,5.321158200551074e-12
15,droplet,3m,30m,male,Liver,Abcg5,-11.19890308380127,3.519574602250941e-05,1.4971160311461063e-08,9.861015132628381e-05,1.1652797230428846e-08
16,droplet,3m,30m,male,Liver,Fcer1g,11.106338500976562,1.7814677448768634e-06,0.0039275274612009525,0.0023006086703389883,0.0
17,droplet,3m,30m,male,Liver,G530011O06Rik,11.053549766540527,3.8474976093993973e-08,8.177861309377477e-05,0.00012814482033718377,2.933260454801493e-174
18,droplet,3m,30m,male,Liver,Slc22a7,-11.051902770996094,3.946249125874601e-05,1.8586899130923484e-08,0.00011400274524930865,4.5421782261446604e-08
19,droplet,3m,30m,male,Liver,Emp3,10.917009353637695,1.9584803112593363e-07,0.00037867683568038046,0.00033243370126001537,0.0
20,droplet,3m,30m,male,Spleen,S100a8,10.898082733154297,1.0428659152239561e-05,0.019901156425476074,0.06458961963653564,9.516216864982198e-181
