,Dataset,Start age,End age,sex,tissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
80,droplet,18m,21m,female,Mammary_Gland,Fxyd2,8.108072280883789,0.00025692599592730403,3.168767943861894e-05,0.00098702241666615,2.765066489162874e-29
81,droplet,18m,21m,female,Spleen,Klk1b27,8.086081504821777,2.275059387102374e-06,1.839632386690937e-05,8.055864600464702e-05,9.334241020582503e-23
82,droplet,18m,21m,female,Fat,Aif1l,8.06042194366455,7.87689714343287e-06,6.349111936287954e-05,0.00018620763148646802,3.4685287961543074e-11
83,droplet,18m,21m,female,Mammary_Gland,Gipc2,7.992659091949463,5.2662056987173855e-05,6.588802079932066e-06,0.00014263851335272193,2.6127957379991058e-53
84,droplet,18m,21m,female,Liver,Hsd17b6,7.890832901000977,2.5860246751108207e-05,0.00020405890245456249,0.0003327284939587116,1.1783573645956964e-17
85,droplet,18m,21m,female,Pancreas,Tff2,7.863148212432861,3.0606122891185805e-05,0.00024066047626547515,0.0006621754728257656,3.481400805543472e-22
86,droplet,18m,21m,female,Mammary_Gland,Dgat2,7.85106086730957,8.835283369990066e-05,1.1253616321482696e-05,0.00030278178746812046,2.2113317743174045e-36
87,droplet,18m,21m,female,Liver,Il18bp,7.849915981292725,0.00030397772206924856,3.872369052260183e-05,0.0004978024517185986,3.392262103125529e-33
88,droplet,18m,21m,female,Pancreas,Gm5409,7.765542030334473,3.3785506730055204e-06,2.6236284611513838e-05,0.00010855043365154415,3.9605094726632023e-07
89,droplet,18m,21m,female,Fat,Rpl26,7.727280616760254,6.172660960146459e-06,4.769788938574493e-05,8.835369953885674e-05,4.341583169690081e-29
90,droplet,18m,21m,female,Marrow,Osm,7.682006359100342,8.627378520031925e-06,6.627558468608186e-05,0.00018105850904248655,8.280464963273004e-89
91,droplet,18m,21m,female,Mammary_Gland,Sprr1a,7.559464931488037,7.947965787025169e-05,1.0513925190025475e-05,0.0004259021079633385,9.279962586650386e-13
92,droplet,18m,21m,female,Fat,Rpl39l,7.545419216156006,3.8982379919616506e-06,2.9413846277748235e-05,8.715265721548349e-05,4.558440885075386e-09
93,droplet,18m,21m,female,Liver,Cd5l,7.52800178527832,0.0021487982012331486,0.00028544070664793253,0.0031884503550827503,8.484326773736943e-38
94,droplet,18m,21m,female,Mammary_Gland,Wnt4,7.511651992797852,7.245107553899288e-05,9.645157660997938e-06,0.0001884544617496431,1.0912498954467473e-60
95,droplet,18m,21m,female,Kidney,Rn45s,7.5005717277526855,0.016247037798166275,0.0021661065984517336,0.025904618203639984,6.112473386351367e-125
96,droplet,18m,21m,female,Spleen,Hoxa7,7.435705661773682,1.4120513469606522e-06,1.0499606105440762e-05,5.526941822608933e-05,2.403594812946684e-08
97,droplet,18m,21m,female,Pancreas,Pnliprp2,7.423067092895508,6.427097832784057e-05,0.00047708777128718793,0.0014060393441468477,4.739428688310441e-19
98,droplet,18m,21m,female,Pancreas,Zg16,7.379568099975586,0.00022915820591151714,0.0016910885460674763,0.004280212335288525,2.7591286802857786e-26
99,droplet,18m,21m,female,Liver,Ms4a6d,7.373423099517822,6.799380935262889e-05,9.221470463671722e-06,0.00014584165182895958,9.325525175822443e-17
100,droplet,18m,21m,female,Pancreas,Cel,7.222584247589111,0.0002661882608663291,0.0019225671421736479,0.005543807055801153,9.142702421810932e-20
101,droplet,18m,21m,female,Marrow,Gm5483,7.217303276062012,1.9300172425573692e-05,0.00013929521082900465,0.0011315782321617007,1.0362310423392927e-06
102,droplet,18m,21m,female,Liver,Kcna2,7.174971103668213,4.009123949799687e-05,5.587650775851216e-06,0.00010810053936438635,6.322137337887344e-08
103,droplet,18m,21m,female,Liver,Hk3,7.1618523597717285,4.3403677409514785e-05,6.060397481633117e-06,0.00011280454782536253,2.2409416581488546e-07
104,droplet,18m,21m,female,Liver,Hk2,7.150292873382568,7.38248709239997e-05,1.0324733011657372e-05,0.00016221308032982051,1.949649542194601e-14
105,droplet,18m,21m,female,Liver,C1qb,7.124383449554443,0.002524150535464287,0.0003542974009178579,0.003810563823208213,1.7013215571300524e-34
106,droplet,18m,21m,female,Liver,Ppfia4,7.0622029304504395,3.8800873880973086e-05,5.494159267982468e-06,9.842323197517544e-05,4.736146370899214e-08
107,droplet,18m,21m,female,Mammary_Gland,Mlph,7.0160813331604,3.2117110094986856e-05,4.577641448122449e-06,8.988393528852612e-05,1.1532619411958518e-39
108,droplet,18m,21m,female,Pancreas,2210010C04Rik,7.0019378662109375,0.0007260752026923001,0.005083933472633362,0.013161016628146172,3.1631663188027707e-24
109,droplet,18m,21m,female,Lung,Ager,6.950024127960205,8.108975634968374e-06,5.6357581343036145e-05,0.0003750958130694926,6.348042735014091e-06
110,droplet,18m,21m,female,Liver,Slc11a1,6.901341438293457,0.00011403542885091156,1.6523659724043682e-05,0.0002119271521223709,4.171991847840824e-21
111,droplet,18m,21m,female,Lung,Rn45s,6.896742343902588,0.0038601281121373177,0.000559703097678721,0.0068595330230891705,3.749962414963248e-71
112,droplet,18m,21m,female,Liver,Lilra5,6.8879923820495605,9.20038582989946e-05,1.3357136595004704e-05,0.00019863058696500957,1.5988631904921142e-15
113,droplet,18m,21m,female,Mammary_Gland,Cited1,6.882905006408691,7.148380973376334e-05,1.0385702807980124e-05,0.00032144447322934866,2.456832555958718e-18
114,droplet,18m,21m,female,Mammary_Gland,Upk2,6.832645416259766,1.2759720448229928e-05,1.8674630837267614e-06,6.133497663540766e-05,2.751812947868939e-07
115,droplet,18m,21m,female,Mammary_Gland,Aqp5,6.787553787231445,0.00010951045260298997,1.613400672795251e-05,0.00037515381700359285,1.0433622863864498e-33
116,droplet,18m,21m,female,Lung,AI836003,6.738959789276123,4.447422725206707e-06,2.9971010008011945e-05,0.00016255537047982216,2.5346699311840352e-09
117,droplet,18m,21m,female,Liver,Cd68,6.701684474945068,0.0001855718292063102,2.769032471405808e-05,0.0003099489549640566,2.1269606458138553e-27
118,droplet,18m,21m,female,Marrow,Hist1h2ai,6.700328826904297,1.0906843272096012e-05,1.6278061139018973e-06,4.2661780753405765e-05,6.35615632467525e-08
119,droplet,18m,21m,female,Fat,Ltc4s,6.672686576843262,3.039354305656161e-05,0.0002028065937338397,0.0005981979775242507,3.471578777795131e-10
120,droplet,18m,21m,female,Fat,D630033O11Rik,6.662103176116943,8.911997610994149e-06,5.9372654504841194e-05,0.00017877492064144462,3.927463617031337e-09
121,droplet,18m,21m,female,Pancreas,Cela2a,6.658480644226074,0.0023035728372633457,0.015338295139372349,0.04060874134302139,7.827315970626118e-22
122,droplet,18m,21m,female,Pancreas,Sycn,6.626336574554443,0.00039184492197819054,0.002596496371552348,0.006420681718736887,1.1102148321975764e-24
123,droplet,18m,21m,female,Liver,Lpcat2,6.61983060836792,6.403514271369204e-05,9.67322921496816e-06,0.00014285130600910634,1.2653185307467136e-13
124,droplet,18m,21m,female,Liver,Gm11428,6.619219779968262,0.003817592514678836,0.0005767435650341213,0.006286978255957365,3.009509547310779e-26
125,droplet,18m,21m,female,Pancreas,Aqp12,6.6159987449646,4.018396793981083e-06,2.65857142949244e-05,0.00010980453225784004,1.5576875520854143e-06
126,droplet,18m,21m,female,Pancreas,Neb,6.52423095703125,4.366266693978105e-06,2.8486538212746382e-05,9.068302460946143e-05,6.565099982408846e-13
127,droplet,18m,21m,female,Liver,Batf3,6.502742290496826,5.402946408139542e-05,8.308718861371744e-06,0.0001301681186305359,4.506205251636862e-11
128,droplet,18m,21m,female,Liver,Igsf6,6.502442359924316,5.4420237574959174e-05,8.36919844005024e-06,0.00012867999612353742,7.984976509322336e-10
129,droplet,18m,21m,female,Liver,Timd4,6.493466854095459,0.00012613789294846356,1.942535163834691e-05,0.000275673606665805,8.040068517531734e-14
130,droplet,18m,21m,female,Liver,C1qc,6.468067646026611,0.0024036173708736897,0.00037161289947107434,0.003507021116092801,4.897689402089976e-35
131,droplet,18m,21m,female,Liver,Lilrb3,6.445591449737549,9.090240200748667e-05,1.4103034118306823e-05,0.0001670045021455735,4.5778391518166096e-20
132,droplet,18m,21m,female,Liver,Tifab,6.4310383796691895,4.3205360270803794e-05,6.7182545535615645e-06,0.0001033901353366673,4.368623375078348e-09
133,droplet,18m,21m,female,Marrow,H2-Q10,6.394991397857666,3.928244950657245e-06,2.5121098587987944e-05,0.00012355975923128426,5.06625743785719e-19
134,droplet,18m,21m,female,Liver,Clec12a,6.3946051597595215,0.00016566537669859827,2.5907051167450845e-05,0.0002708708925638348,3.638607924966833e-24
135,droplet,18m,21m,female,Liver,Lilrb4,6.378824710845947,0.00010458903852850199,1.6396284991060384e-05,0.0002083575673168525,1.9024364431489615e-18
136,droplet,18m,21m,female,Fat,Mgp,6.377838611602783,0.001060241716913879,0.0001662384020164609,0.004496220964938402,3.4277865654854854e-08
137,droplet,18m,21m,female,Mammary_Gland,Pet112l,6.377055644989014,3.5390145058045164e-05,5.549604793486651e-06,0.00012670367141254246,1.382467723722605e-25
138,droplet,18m,21m,female,Pancreas,Cpb1,6.341576099395752,0.0006373153300955892,0.004041583742946386,0.010817291215062141,2.4567978938583823e-20
139,droplet,18m,21m,female,Marrow,Snhg9,6.309745788574219,5.076134402770549e-05,8.044909918680787e-06,9.822646097745746e-05,2.5536701957341353e-86
140,droplet,18m,21m,female,Pancreas,Cela1,6.304159164428711,0.0008224049815908074,0.005184571724385023,0.013219150714576244,5.195128535232845e-23
141,droplet,18m,21m,female,Liver,Cfp,6.272077560424805,0.0006470399093814194,0.00010316197585780174,0.001033084117807448,2.227549060985974e-28
142,droplet,18m,21m,female,Marrow,Lepr,6.2499680519104,5.801435690955259e-05,9.282343853556085e-06,0.00022117827029433101,1.3583049112234666e-25
143,droplet,18m,21m,female,Mammary_Gland,Fam38b,6.246552467346191,2.8834363547503017e-05,4.6160434976627585e-06,9.661098738433793e-05,2.889487611888863e-25
144,droplet,18m,21m,female,Liver,Lair1,6.1548895835876465,0.00010480020864633843,1.7027145077008754e-05,0.00021343259140849113,1.2726983639600305e-15
145,droplet,18m,21m,female,Pancreas,Amy2b,6.110565185546875,5.217345096752979e-05,0.0003188092669006437,0.0010538859060034156,2.4543682089414795e-10
146,droplet,18m,21m,female,Pancreas,Igfbp5,6.095324516296387,6.990414476604201e-06,4.260885179974139e-05,0.0001450880226911977,1.3200357197698723e-11
147,droplet,18m,21m,female,Liver,Apobec1,6.07008171081543,7.52195919631049e-05,1.2391857126203831e-05,0.00015076829004101455,8.349636712500934e-18
148,droplet,18m,21m,female,Pancreas,Ctrl,6.042135715484619,0.0005575454561039805,0.0033687653485685587,0.009083389304578304,2.3766174411078273e-19
149,droplet,18m,21m,female,Spleen,Zfp608,6.019131183624268,2.353832132939715e-05,3.910583473043516e-06,8.445077401120216e-05,2.2746447735082625e-32
150,droplet,18m,21m,female,Liver,Gp49a,6.01460599899292,5.496922676684335e-05,9.13928852241952e-06,0.0001448867842555046,1.639206563740866e-08
151,droplet,18m,21m,female,Pancreas,Rad51ap2,6.001935005187988,5.1317427278263494e-05,8.550146048946772e-06,0.00012223584053572267,5.435273061157816e-18
152,droplet,18m,21m,female,Liver,Gbp1,5.965436935424805,5.4475662182085216e-05,9.13188068807358e-06,0.0001423931826138869,5.983336690461501e-08
153,droplet,18m,21m,female,Pancreas,Cela3b,5.941278457641602,0.0005345183308236301,0.0031757222022861242,0.00830978062003851,1.3124611276749226e-20
154,droplet,18m,21m,female,Mammary_Gland,Dpep2,5.931201457977295,2.842570211214479e-05,4.7925695980666205e-06,0.0001118450309149921,2.1781664901519774e-18
155,droplet,18m,21m,female,Liver,Ccl6,5.910378932952881,0.0005617387942038476,9.504277113592252e-05,0.0009131047409027815,8.193451773777084e-26
156,droplet,18m,21m,female,Mammary_Gland,Foxa1,5.909660339355469,2.908713577198796e-05,4.921962954540504e-06,8.867772703524679e-05,8.192855615388078e-30
157,droplet,18m,21m,female,Pancreas,Try10,5.9045915603637695,2.2123502276372164e-05,0.00013063025835435838,0.0004023955552838743,5.671637452992752e-13
158,droplet,18m,21m,female,Spleen,Emr1,5.897108554840088,1.4760556041437667e-05,8.704460924491286e-05,0.00020594484522007406,1.883265167040997e-129
159,droplet,18m,21m,female,Liver,C1qa,5.876609802246094,0.0023053684271872044,0.000392295653000474,0.0034734117798507214,2.7761212520653435e-30
160,droplet,18m,21m,female,Liver,Ear2,5.876383304595947,9.236347978003323e-05,1.571774009789806e-05,0.00019959201745223254,9.137682725955765e-12
161,droplet,18m,21m,female,Liver,Clec1b,5.873244762420654,0.00020020552619826049,3.4087719541275874e-05,0.00035499746445566416,2.3824391359246663e-21
162,droplet,18m,21m,female,Mammary_Gland,Arg2,5.859589576721191,2.9798282412230037e-05,5.0853864195232745e-06,9.708664583740756e-05,6.53165522171984e-27
163,droplet,18m,21m,female,Mammary_Gland,Krt7,5.8302001953125,0.0002139363787136972,3.669451689347625e-05,0.0004876110760960728,6.015845211533445e-76
164,droplet,18m,21m,female,Liver,Rab31,5.823629379272461,3.495517375995405e-05,6.0022998695785645e-06,9.505204070592299e-05,4.7498016968311287e-07
165,droplet,18m,21m,female,Mammary_Gland,Foxq1,5.791477203369141,1.9777058696490712e-05,3.414854745642515e-06,9.317998046753928e-05,2.0045095009538003e-10
166,droplet,18m,21m,female,Liver,Pkib,5.779054641723633,8.435689960606396e-05,1.459700615669135e-05,0.00016808920190669596,1.3346070426443195e-16
167,droplet,18m,21m,female,Mammary_Gland,Abcc3,5.75715970993042,1.900829010992311e-05,3.301677452327567e-06,7.040105992928147e-05,4.996676450091513e-16
168,droplet,18m,21m,female,Liver,Clec4f,5.738369464874268,0.0016538907075300813,0.000288216135231778,0.0024533376563340425,1.09582250521641e-29
169,droplet,18m,21m,female,Liver,AF251705,5.735467910766602,0.00017591743380762637,3.067185389227234e-05,0.00030239744228310883,4.48797826020041e-21
170,droplet,18m,21m,female,Limb_Muscle,Sorbs2,5.727301597595215,5.01111862831749e-05,8.749527296458837e-06,0.00022240223188418895,5.1213126269916895e-06
171,droplet,18m,21m,female,Liver,Lpl,5.713884353637695,0.00029733317205682397,5.203696127864532e-05,0.0006352053605951369,2.34042924905866e-13
172,droplet,18m,21m,female,Liver,Fes,5.710391998291016,3.802697028731927e-05,6.6592565417522565e-06,9.283604595111683e-05,7.428744696312264e-09
173,droplet,18m,21m,female,Liver,Adrb1,5.7055583000183105,4.4876815081806853e-05,7.865454790589865e-06,0.00011954292131122202,4.5320122167581306e-07
174,droplet,18m,21m,female,Liver,Csf1r,5.685481071472168,0.0007472501019947231,0.00013143128308001906,0.0010952497832477093,1.3977985610776277e-28
175,droplet,18m,21m,female,Liver,Trpm2,5.680395126342773,4.239141708239913e-05,7.462757366738515e-06,0.00011059456301154569,5.419984288359548e-08
176,droplet,18m,21m,female,Mammary_Gland,Slc7a2,5.676023960113525,7.316704432014376e-05,1.2890544894617051e-05,0.00019801269809249789,1.518515170744633e-48
177,droplet,18m,21m,female,Mammary_Gland,Csf3,5.663651943206787,0.00026823149528354406,4.7360164899146184e-05,0.0013815821148455143,2.438461449580345e-12
178,droplet,18m,21m,female,Kidney,Hook1,5.630031585693359,2.1607784219668247e-05,3.8379498619178776e-06,6.0454545746324584e-05,5.293721093236663e-19
179,droplet,18m,21m,female,Fat,Smpd3,5.62291145324707,5.0297843699809164e-05,0.00028282031416893005,0.0008832002058625221,5.195143302207797e-07
180,droplet,18m,21m,female,Liver,Fcgr3,5.599400520324707,0.0002088738838210702,3.7302899727365e-05,0.00034093460999429226,1.515270742015589e-23
181,droplet,18m,21m,female,Fat,Postn,5.587648868560791,6.698920333292335e-05,0.0003743121342267841,0.000985060236416757,5.981070951722376e-12
182,droplet,18m,21m,female,Pancreas,Klk1,5.585221767425537,8.131928188959137e-05,0.0004541862290352583,0.001239946112036705,5.634340166109991e-17
183,droplet,18m,21m,female,Liver,Alox5ap,5.580714702606201,0.00016360498557332903,2.9316133804968558e-05,0.0003628424310591072,4.511738573467522e-12
184,droplet,18m,21m,female,Mammary_Gland,Rasef,5.57399320602417,1.1476804502308369e-05,2.058990503428504e-06,4.446541061042808e-05,8.434048548362771e-08
185,droplet,18m,21m,female,Liver,Gsta2,5.565284729003906,1.2829188563046046e-05,7.139809167711064e-05,0.00015643943333998322,8.577020770217113e-07
186,droplet,18m,21m,female,Liver,Lrrc25,5.563358306884766,8.911993791116402e-05,1.6019088434404694e-05,0.00017167678743135184,3.4334047382576276e-15
