,Dataset,Start age,End age,sex,tissue,subtissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
4650,droplet,3m,24m,male,Kidney,nan,Chd7,2.202561616897583,1.5080211596796289e-05,3.321509575471282e-05,9.118428715737537e-05,8.170011102477649e-10
4651,droplet,3m,24m,male,Kidney,nan,Ddit4,2.2025320529937744,0.00010078486957354471,4.575863931677304e-05,0.00022179074585437775,3.547919412647626e-11
4652,droplet,3m,24m,male,Kidney,nan,Purb,2.2019293308258057,8.285618241643533e-05,3.76289026462473e-05,0.0001430646952940151,2.8424026508367354e-19
4653,droplet,3m,24m,male,Kidney,nan,Mtss1,2.2012946605682373,5.978570698061958e-05,2.7159336241311394e-05,0.00011597148113651201,1.0809868663673858e-13
4654,droplet,3m,24m,male,Bladder,nan,Itpkc,2.2004787921905518,9.375179070048034e-05,4.2605177441146225e-05,0.00016080716159194708,3.3617984848979844e-29
4655,droplet,3m,24m,male,Kidney,nan,1500012F01Rik,2.200326681137085,8.854344196151942e-05,0.00019482450443319976,0.0002809631987474859,9.99025010330588e-66
4656,droplet,3m,24m,male,Kidney,nan,Cd1d1,2.1999080181121826,1.5418161638081074e-05,3.391854261280969e-05,0.0001024333032546565,6.096624269663785e-08
4657,droplet,3m,24m,male,Tongue,nan,Jak2,2.19928240776062,7.854492650949396e-06,1.7274249330512248e-05,5.124162635183893e-05,3.1328345444475545e-08
4658,droplet,3m,24m,male,Bladder,nan,C1ra,2.1988236904144287,0.00016368010255973786,7.443984941346571e-05,0.00024820672115311027,8.92280394372436e-34
4659,droplet,3m,24m,male,Bladder,nan,Gypc,2.1986477375030518,3.438518615439534e-05,1.5639241610188037e-05,8.10872224974446e-05,5.978915486730675e-10
4660,droplet,3m,24m,male,Bladder,nan,Npdc1,2.198380470275879,0.00010450142144691199,4.7535639168927446e-05,0.0001560257514938712,1.0235400708673116e-35
4661,droplet,3m,24m,male,Bladder,nan,C1s,2.1980650424957275,0.0002801065274979919,0.00012743323168251663,0.0003616172762122005,1.5677244754919519e-46
4662,droplet,3m,24m,male,Bladder,nan,Tmem9,2.1979470252990723,5.598715506494045e-05,2.54724745900603e-05,9.159289038507268e-05,5.553840620574875e-28
4663,droplet,3m,24m,male,Kidney,nan,Atp6v1g1,2.1965737342834473,0.0004486980615183711,0.0002042717969743535,0.0004084872780367732,1.9196213109122047e-83
4664,droplet,3m,24m,male,Kidney,nan,Tbc1d10a,2.1960535049438477,4.4977321522310376e-05,2.0480974853853695e-05,9.83859135885723e-05,9.638927844795485e-10
4665,droplet,3m,24m,male,Spleen,nan,Clcn3,2.1941206455230713,1.532236456114333e-05,3.3619118767092004e-05,0.00011829163850052282,8.955307003529014e-09
4666,droplet,3m,24m,male,Kidney,nan,Rtn4,2.1938369274139404,0.00019427828374318779,8.855639316607267e-05,0.00023971869086381048,7.614258419014019e-43
4667,droplet,3m,24m,male,Kidney,nan,Eci2,2.193758487701416,8.543329022359103e-05,3.89437991543673e-05,0.00013762569869868457,2.40586658223969e-22
4668,droplet,3m,24m,male,Kidney,nan,Mcm7,2.1934597492218018,1.3806418792228214e-05,3.0283827072707936e-05,0.00010329883662052453,1.8581953334473672e-07
4669,droplet,3m,24m,male,Kidney,nan,2900010M23Rik,2.1930904388427734,0.00021948968060314655,0.00010008236858993769,0.00024649265105836093,2.5290277233450177e-52
4670,droplet,3m,24m,male,Bladder,nan,Aebp1,2.192690849304199,0.0002275744336657226,0.00010378774459240958,0.0003765181463677436,1.0325694160965763e-31
4671,droplet,3m,24m,male,Kidney,nan,Bag5,2.191732883453369,4.005769005743787e-05,1.8276718037668616e-05,0.00010079740604851395,1.0374164242957942e-06
4672,droplet,3m,24m,male,Spleen,nan,Arl4a,2.191607713699341,2.508823490643408e-05,5.498357131727971e-05,0.00018639652989804745,3.3294551705597953e-12
4673,droplet,3m,24m,male,Bladder,nan,Gpc4,2.191154718399048,2.401862911938224e-05,1.096162941394141e-05,6.64462277200073e-05,2.387760142720389e-06
4674,droplet,3m,24m,male,Kidney,nan,Fzr1,2.191018581390381,2.4144428607542068e-05,5.290089393383823e-05,0.00015629241534043103,9.51648090662847e-16
4675,droplet,3m,24m,male,Kidney,nan,Ahcy,2.1892731189727783,8.742446516407654e-05,3.99331001972314e-05,0.00016177070210687816,9.617922872188179e-17
4676,droplet,3m,24m,male,Kidney,nan,Rpl37,2.1890974044799805,0.001989188138395548,0.004354526754468679,0.0021567773073911667,0.0
4677,droplet,3m,24m,male,Kidney,nan,Bmyc,2.1885011196136475,4.058058766531758e-05,8.881065878085792e-05,0.00016931277059484273,7.886307164139331e-30
4678,droplet,3m,24m,male,Spleen,nan,Asf1b,2.1884267330169678,1.2240143405506387e-05,2.6786659873323515e-05,0.00010166630818275735,7.217153445629792e-06
4679,droplet,3m,24m,male,Kidney,nan,Rabggta,2.188272476196289,3.361639392096549e-05,1.5362067642854527e-05,8.57193663250655e-05,6.721124792376334e-06
4680,droplet,3m,24m,male,Kidney,nan,Ccdc104,2.1882617473602295,4.033399818581529e-05,1.8431977878208272e-05,9.24440537346527e-05,2.284268106193411e-08
4681,droplet,3m,24m,male,Bladder,nan,Hk2,2.1874022483825684,0.0004346290370449424,0.00019869644893333316,0.0006329644820652902,6.158073193940047e-42
4682,droplet,3m,24m,male,Bladder,nan,2010002N04Rik,2.187366008758545,0.00011359600466676056,5.1932780479546636e-05,0.000179032125743106,4.735300945432209e-34
4683,droplet,3m,24m,male,Kidney,nan,Rab18,2.186894416809082,0.00014389600255526602,6.57992422929965e-05,0.00018701341468840837,2.685329548733729e-37
4684,droplet,3m,24m,male,Spleen,nan,Rps28,2.1857352256774902,0.006947771646082401,0.003178688697516918,0.0022978191263973713,0.0
4685,droplet,3m,24m,male,Bladder,nan,Sec31a,2.185638427734375,8.343892841367051e-05,3.8176000089151785e-05,0.00011709767568390816,7.144099670939465e-43
4686,droplet,3m,24m,male,Kidney,nan,Sypl,2.1849799156188965,0.00021019192354287952,9.619856427889317e-05,0.00024523891624994576,4.824234629568696e-47
4687,droplet,3m,24m,male,Kidney,nan,Pop5,2.184290885925293,0.00015165602962952107,6.943032349226996e-05,0.00019276254170108587,3.772208182978933e-39
4688,droplet,3m,24m,male,Bladder,nan,Erlec1,2.1841838359832764,5.99877857894171e-05,2.7464620870887302e-05,9.271839371649548e-05,2.792525511933051e-31
