,Dataset,Start age,End age,Sex,Tissue,Subtissue,Cell type,Gene,dExpression,Confidence,Expression at start age,Expression at end age,Max expression std. dev
0,droplet,3m,21m,female,Thymus,nan,thymocyte,Erdr1,0.0,low,0.00010247041063848883,0.0001922030351124704,0.00023206498008221388
1,droplet,3m,21m,female,Lung,nan,T cell,Mefv,0.0,low,0.0,3.2361517696699593e-06,2.9304605050128885e-05
2,droplet,3m,21m,female,Lung,nan,T cell,Gpr84,0.0,low,0.0,0.0,0.0
3,droplet,3m,21m,female,Lung,nan,T cell,Zfp385a,0.0,low,0.0,0.0,0.0
4,droplet,3m,21m,female,Lung,nan,T cell,Itga5,0.0,low,1.2062871974194422e-05,3.3776821055653272e-06,3.411895522731356e-05
5,droplet,3m,21m,female,Lung,nan,T cell,Gtsf1,0.0,low,0.0,0.0,0.0
6,droplet,3m,21m,female,Lung,nan,T cell,BC048502,0.0,low,0.0,0.0,0.0
7,droplet,3m,21m,female,Lung,nan,T cell,Nckap1l,0.0,low,5.405805859481916e-05,3.475630364846438e-05,8.392068411922082e-05
8,droplet,3m,21m,female,Lung,nan,T cell,Pde1b,0.0,low,0.0,2.3029033400234766e-06,1.7510783436591737e-05
9,droplet,3m,21m,female,Lung,nan,T cell,Ppp1r1a,0.0,low,0.0,0.0,0.0
10,droplet,3m,21m,female,Lung,nan,T cell,Glycam1,0.0,low,0.0,0.0,0.0
11,droplet,3m,21m,female,Lung,nan,T cell,Mucl1,0.0,low,0.0,0.0,0.0
12,droplet,3m,21m,female,Lung,nan,T cell,Spt1,0.0,low,0.0,0.0,0.0
13,droplet,3m,21m,female,Lung,nan,T cell,Zfp263,0.0,low,4.631559204426594e-05,1.1438783985795453e-05,0.00013100026990287006
14,droplet,3m,21m,female,Lung,nan,T cell,Prkag1,0.0,low,0.00013380104792304337,5.7956371165346354e-05,0.00013628329907078296
15,droplet,3m,21m,female,Lung,nan,T cell,Zfp174,0.0,low,0.0,0.0,0.0
16,droplet,3m,21m,female,Lung,nan,T cell,Zfp597,0.0,low,6.469728305091849e-06,6.9440652623598e-06,3.907045174855739e-05
17,droplet,3m,21m,female,Lung,nan,T cell,Nat15,0.0,low,4.4198313844390213e-05,1.569529740663711e-05,8.075708319665864e-05
18,droplet,3m,21m,female,Lung,nan,T cell,1700037C18Rik,0.0,low,0.0,3.307541874164599e-06,2.6830048227566294e-05
19,droplet,3m,21m,female,Lung,nan,T cell,Cluap1,0.0,low,1.818727105273865e-05,1.5377754607470706e-05,5.7222016039304435e-05
20,droplet,3m,21m,female,Lung,nan,T cell,Nlrc3,0.0,low,0.0,1.551227796880994e-05,6.00941275479272e-05
21,droplet,3m,21m,female,Lung,nan,T cell,Slx4,0.0,low,0.0,0.0,0.0
22,droplet,3m,21m,female,Lung,nan,T cell,Dnase1,0.0,low,0.0,0.0,0.0
23,droplet,3m,21m,female,Lung,nan,T cell,Trap1,0.0,low,6.32719966233708e-05,3.911354360752739e-05,0.00013375550042837858
24,droplet,3m,21m,female,Lung,nan,T cell,Crebbp,0.0,low,2.2771702788304538e-05,1.4871270650473889e-05,5.996148320264183e-05
25,droplet,3m,21m,female,Lung,nan,T cell,Gm5766,0.0,low,1.3948168998467736e-05,0.0,3.945137723349035e-05
26,droplet,3m,21m,female,Lung,nan,T cell,Copz1,0.0,low,9.719238005345687e-05,7.306726183742285e-05,0.00012100391904823482
27,droplet,3m,21m,female,Lung,nan,T cell,Nfe2,0.0,low,0.0,8.107664143608417e-06,4.1920648072846234e-05
28,droplet,3m,21m,female,Lung,nan,T cell,Gm5643,0.0,low,2.1976091375108808e-05,4.0074992284644395e-06,6.215777102624997e-05
29,droplet,3m,21m,female,Lung,nan,T cell,Hnrnpa1,0.0,low,0.0,0.0,0.0
30,droplet,3m,21m,female,Lung,nan,T cell,Amhr2,0.0,low,0.0,1.5225165043375455e-05,7.543624087702483e-05
31,droplet,3m,21m,female,Lung,nan,T cell,Prr13,0.0,low,0.00034324516309425235,0.0006078946171328425,0.0003892431559506804
32,droplet,3m,21m,female,Lung,nan,T cell,Pcbp2,0.0,low,0.000512000871822238,0.00038778045563958585,0.00035196979297325015
33,droplet,3m,21m,female,Lung,nan,T cell,Map3k12,0.0,low,0.0,0.0,0.0
34,droplet,3m,21m,female,Lung,nan,T cell,Tarbp2,0.0,low,3.8626563764410093e-05,1.5994002751540393e-05,6.66340856696479e-05
35,droplet,3m,21m,female,Lung,nan,T cell,Npff,0.0,low,0.0,0.0,0.0
36,droplet,3m,21m,female,Lung,nan,T cell,Atf7,0.0,low,6.469728305091849e-06,6.63812306811451e-06,6.0110720369266346e-05
37,droplet,3m,21m,female,Lung,nan,T cell,Atp5g2,0.0,low,0.0005401133093982935,0.0006363452412188053,0.00041463878005743027
38,droplet,3m,21m,female,Lung,nan,T cell,Mir688,0.0,low,0.0,0.0,0.0
39,droplet,3m,21m,female,Lung,nan,T cell,Calcoco1,0.0,low,0.0,1.174951557914028e-05,4.8525464080739766e-05
40,droplet,3m,21m,female,Lung,nan,T cell,Hoxc13,0.0,low,0.0,0.0,0.0
41,droplet,3m,21m,female,Lung,nan,T cell,Hoxc12,0.0,low,0.0,0.0,0.0
42,droplet,3m,21m,female,Lung,nan,T cell,Hotair,0.0,low,0.0,0.0,0.0
43,droplet,3m,21m,female,Lung,nan,T cell,Hoxc11,0.0,low,0.0,0.0,0.0
44,droplet,3m,21m,female,Lung,nan,T cell,Hoxc10,0.0,low,0.0,0.0,0.0
45,droplet,3m,21m,female,Lung,nan,T cell,Hoxc9,0.0,low,0.0,0.0,0.0
46,droplet,3m,21m,female,Lung,nan,T cell,Hoxc8,0.0,low,0.0,0.0,0.0
47,droplet,3m,21m,female,Lung,nan,T cell,Hoxc6,0.0,low,0.0,0.0,0.0
48,droplet,3m,21m,female,Lung,nan,T cell,Hoxc5,0.0,low,0.0,0.0,0.0
49,droplet,3m,21m,female,Lung,nan,T cell,Hoxc4,0.0,low,0.0,0.0,0.0
50,droplet,3m,21m,female,Lung,nan,T cell,D930007P13Rik,0.0,low,0.0,0.0,0.0
51,droplet,3m,21m,female,Lung,nan,T cell,Smug1,0.0,low,0.0,3.075087533943588e-06,2.784611569950357e-05
52,droplet,3m,21m,female,Lung,nan,T cell,Cbx5,0.0,low,3.8728347135474905e-05,5.0760576414177194e-05,0.00010424094216432422
53,droplet,3m,21m,female,Lung,nan,T cell,Adcy9,0.0,low,0.0,0.0,0.0
54,droplet,3m,21m,female,Lung,nan,T cell,Srl,0.0,low,0.0,0.0,0.0
55,droplet,3m,21m,female,Lung,nan,T cell,Tfap4,0.0,low,1.818727105273865e-05,8.10765050118789e-06,3.97733056161087e-05
56,droplet,3m,21m,female,Lung,nan,T cell,1700123O21Rik,0.0,low,0.0,0.0,0.0
57,droplet,3m,21m,female,Lung,nan,T cell,Mettl22,0.0,low,0.0,1.3351892448554281e-05,5.351438812795095e-05
58,droplet,3m,21m,female,Lung,nan,T cell,Abat,0.0,low,0.0,4.272408659744542e-06,3.8688242057105526e-05
59,droplet,3m,21m,female,Lung,nan,T cell,Tmem186,0.0,low,0.0,1.4044297131476924e-05,5.372646410251036e-05
60,droplet,3m,21m,female,Lung,nan,T cell,Pmm2,0.0,low,4.38485003542155e-05,2.3260283342096955e-05,8.162701851688325e-05
61,droplet,3m,21m,female,Lung,nan,T cell,Carhsp1,0.0,low,0.00018076057313010097,3.42877465300262e-05,0.00023267499636858702
62,droplet,3m,21m,female,Lung,nan,T cell,Usp7,0.0,low,0.0,3.146368180750869e-05,8.602819434599951e-05
63,droplet,3m,21m,female,Lung,nan,T cell,1810013L24Rik,0.0,low,1.1163579983985983e-05,6.250129445106722e-06,3.981597546953708e-05
