,dataset,start_age,end_age,sex,tissue,subtissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
234,droplet,3m,21m,female,Spleen,nan,Tbx21,2.1937220096588135,8.407618224737234e-06,3.846352774417028e-05,0.0001125000198953785,2.972406062074311e-51
235,droplet,3m,21m,female,Marrow,nan,Mef2a,-2.191302537918091,2.7108982976642437e-05,5.935610715823714e-06,6.932279939064756e-05,1.4323951465091966e-34
236,droplet,3m,21m,female,Marrow,nan,Hba-a2,-2.181391716003418,0.0003070473612751812,6.769257743144408e-05,0.0010018334724009037,7.477877152824807e-36
237,droplet,3m,21m,female,Limb_Muscle,nan,Epsti1,-2.1809487342834473,2.5928766262950376e-05,5.718087777495384e-06,0.00014086629380472004,2.7969558073816313e-09
238,droplet,3m,21m,female,Marrow,nan,Lifr,-2.1788673400878906,1.3656434930453543e-05,3.0160099413478747e-06,5.9931640862487257e-05,6.952858150243145e-08
239,droplet,3m,21m,female,Mammary_Gland,nan,Ehd2,2.17803955078125,7.692709914408624e-06,3.4812452213373035e-05,8.695708675077185e-05,4.358810537462562e-52
240,droplet,3m,21m,female,Marrow,nan,Rsad2,-2.1766176223754883,0.00010718208068283275,2.3708002117928118e-05,0.00048385534319095314,7.56349527978321e-17
241,droplet,3m,21m,female,Mammary_Gland,nan,Uchl1,2.171950578689575,2.6497405087866355e-06,1.1940587683056947e-05,5.938924732618034e-05,1.0720677213855448e-06
242,droplet,3m,21m,female,Spleen,nan,Adora2a,2.171095609664917,8.3696395449806e-06,3.769395698327571e-05,0.00010766353807412088,9.549966879128774e-53
243,droplet,3m,21m,female,Lung,nan,Rps19-ps3,-2.1705222129821777,6.491927342722192e-05,1.4420533261727542e-05,0.00013217322702985257,1.5112820662104295e-33
244,droplet,3m,21m,female,Marrow,nan,Hist1h1e,-2.165416717529297,0.0003098185989074409,6.90640663378872e-05,0.0005921815754845738,9.548915497804581e-117
245,droplet,3m,21m,female,Spleen,nan,Bambi-ps1,-2.1622695922851562,1.3898094039177522e-05,3.104896450167871e-06,8.027915464481339e-05,2.007382214772981e-06
246,droplet,3m,21m,female,Spleen,nan,Mgmt,2.158132314682007,3.252144097132259e-06,1.4515514521917794e-05,7.012664718786255e-05,1.4457587537982475e-10
247,droplet,3m,21m,female,Mammary_Gland,nan,Ildr2,2.1516027450561523,2.4864366423571482e-06,1.104776583815692e-05,5.081181006971747e-05,3.0114136789441926e-06
248,droplet,3m,21m,female,Marrow,nan,Ermap,-2.150989532470703,3.264090628363192e-05,7.349364295805572e-06,0.0001435163721907884,4.600160168223028e-15
249,droplet,3m,21m,female,Thymus,nan,Cd79a,2.1355667114257812,3.3279335184488446e-05,0.00014623261813540012,0.0006682724924758077,7.269900325016826e-08
250,droplet,3m,21m,female,Mammary_Gland,nan,Sfrp1,2.133866786956787,1.0657079656084534e-05,4.677309698308818e-05,0.00016118635539896786,2.6705686985100647e-35
251,droplet,3m,21m,female,Marrow,nan,Xpo7,-2.129497766494751,7.460809138137847e-05,1.7050739188562147e-05,0.0003323326527606696,2.6667031149602947e-17
252,droplet,3m,21m,female,Spleen,nan,Gng12,2.124950885772705,9.553253221383784e-06,4.167016959399916e-05,0.00010947894770652056,2.134806357793079e-62
253,droplet,3m,21m,female,Marrow,nan,Hbb-b2,-2.124669075012207,0.0009824333246797323,0.00022527547844219953,0.0030869790352880955,6.483158400857381e-38
254,droplet,3m,21m,female,Spleen,nan,Cr2,-2.1229634284973145,0.0002619062433950603,6.012708763591945e-05,0.00039167050272226334,9.8965888981443e-220
255,droplet,3m,21m,female,Kidney,nan,Scd1,2.1225106716156006,3.651949737104587e-05,0.0001590245374245569,0.0005594429094344378,1.1078949409150285e-11
256,droplet,3m,21m,female,Spleen,nan,Nrp1,2.12239146232605,6.364391992974561e-06,2.7711523216567002e-05,0.00012742332182824612,2.072843141912909e-20
257,droplet,3m,21m,female,Mammary_Gland,nan,Trib3,-2.1223816871643066,1.3709807717532385e-05,3.1486956686421763e-06,5.210675954003818e-05,1.1915935193219217e-10
258,droplet,3m,21m,female,Mammary_Gland,nan,D630033O11Rik,2.121846914291382,5.976630745863076e-06,2.6013332899310626e-05,0.0001074369065463543,4.7409930410918697e-20
