,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,facs,3m,24m,male,Abpa,12.342275619506836,2.2185406844954514e-09,1.1525458830874413e-05,0.0001883328368421644,4.885916870427886e-10
1,facs,3m,24m,male,Spt1,11.95085620880127,1.2850009056819545e-08,5.087487807031721e-05,0.0007279232377186418,4.940737290365061e-28
2,facs,3m,24m,male,Pip,10.360126495361328,6.489783377361391e-09,8.531119419785682e-06,0.00013142026728019118,1.162651593741672e-06
3,facs,3m,24m,male,Bpifa2,10.168471336364746,5.839295269538525e-08,6.720208330079913e-05,0.0009849524358287454,2.681174971179988e-27
4,facs,3m,24m,male,Prm2,9.55709457397461,1.3746230820288474e-08,1.0355884114687797e-05,0.00016239604155998677,4.0949458248392185e-09
5,facs,3m,24m,male,Hbb-y,9.154046058654785,2.4033438350556935e-08,1.3692295397049747e-05,0.00020718749146908522,1.2019288004415455e-13
6,facs,3m,24m,male,Cryaa,7.662856578826904,1.247015859462408e-07,2.5271157937822863e-05,0.0003788153117056936,3.312908046942414e-21
7,facs,3m,24m,male,Car6,6.8169779777526855,7.656230849306667e-08,8.632478056824766e-06,0.00013961958757136017,2.7549047434928017e-06
8,facs,3m,24m,male,Ugt8a,-5.18543004989624,5.287175008561462e-05,1.4529590544043458e-06,0.0002774953900370747,1.8168555929301725e-136
9,facs,3m,24m,male,Gpr37,-4.971197128295898,6.164165824884549e-05,1.9651449747470906e-06,0.0003044062468688935,6.609559434602238e-159
10,facs,3m,24m,male,Saa2,-4.961462497711182,3.723299232660793e-05,1.1950291991524864e-06,0.0005313358851708472,1.584354338995466e-19
11,facs,3m,24m,male,Plp1,-4.921295166015625,0.002405878622084856,7.93992294347845e-05,0.010730982758104801,1.9397865474052575e-250
12,facs,3m,24m,male,Cldn11,-4.806493759155273,0.00017937683151103556,6.410140485968441e-06,0.0008284127106890082,1.7175822598736136e-223
13,facs,3m,24m,male,Olig2,-4.721104621887207,2.0222838429617696e-05,7.66738935453759e-07,0.00012978128506802022,3.094428909344116e-45
14,facs,3m,24m,male,Grm3,-4.5197062492370605,1.944144969456829e-05,8.475414574604656e-07,0.0001226895401487127,1.4452884516931158e-42
15,facs,3m,24m,male,Bcan,-4.247204780578613,5.399644942372106e-05,2.8433419174689334e-06,0.0004404202045407146,4.612372563197974e-59
